Symbol,Entry Date,Exit Date,Entry,Exit,Qty,PNL,Result,ML Conf,AI Score,Equity,Peak,Drawdown (%)
ABM Investama Tbk.,2020-04-22,2020-04-23,1470,1411.0,17006,-999953.0,SL,0.556,65,99000047.0,99000047.0,0.0
ABM Investama Tbk.,2021-01-04,2021-01-11,780,827.0,31730,1484964.0,TP,0.581,65,100485011.0,100485011.0,0.0
ABM Investama Tbk.,2021-01-08,2021-01-11,770,816.0,32625,1507275.0,TP,0.607,65,101992286.0,101992286.0,0.0
ABM Investama Tbk.,2021-01-18,2021-01-19,755,800.0,33772,1529872.0,TP,0.617,65,103522158.0,103522158.0,0.0
ABM Investama Tbk.,2021-01-21,2021-01-22,760,730.0,34053,-1035211.0,SL,0.565,65,102486947.0,103522158.0,-0.9999897799657539
ABM Investama Tbk.,2021-02-11,2021-02-11,745,790.0,34391,1537278.0,TP,0.552,65,104024224.0,104024224.0,0.0
ABM Investama Tbk.,2021-02-15,2021-02-16,765,811.0,33994,1560325.0,TP,0.592,65,105584549.0,105584549.0,0.0
ABM Investama Tbk.,2021-02-18,2021-02-25,765,755.0,34504,-345040.0,TIMEOUT,0.677,65,105239509.0,105584549.0,-0.3267902389771064
ABM Investama Tbk.,2021-02-23,2021-03-02,760,755.0,34618,-173090.0,TIMEOUT,0.677,65,105066419.0,105584549.0,-0.4907252101820314
ABM Investama Tbk.,2021-02-26,2021-03-02,750,755.0,35022,175110.0,TIMEOUT,0.558,65,105241529.0,105584549.0,-0.3248770802629464
ABM Investama Tbk.,2021-03-02,2021-03-02,755,755.0,34848,0.0,TIMEOUT,0.56,65,105241529.0,105584549.0,-0.3248770802629464
ABM Investama Tbk.,2021-03-02,2021-03-05,755,745.0,34848,-348480.0,TIMEOUT,0.56,65,104893049.0,105584549.0,-0.6549253717037707
ABM Investama Tbk.,2021-03-02,2021-03-05,755,745.0,34732,-347320.0,TIMEOUT,0.575,65,104545729.0,105584549.0,-0.9838750175463647
ABM Investama Tbk.,2021-03-24,2021-03-25,785,832.0,33294,1568147.0,TP,0.587,65,106113876.0,106113876.0,0.0
ABM Investama Tbk.,2021-03-25,2021-03-26,810,859.0,32751,1591699.0,TP,0.65,65,107705575.0,107705575.0,0.0
ABM Investama Tbk.,2021-03-29,2021-03-31,795,763.0,33869,-1077034.0,SL,0.667,65,106628541.0,107705575.0,-0.9999798060592499
ABM Investama Tbk.,2021-04-05,2021-04-07,790,758.0,33743,-1066279.0,SL,0.58,65,105562262.0,107705575.0,-1.9899740565889927
ABM Investama Tbk.,2021-04-08,2021-04-15,790,785.0,33405,-167025.0,TIMEOUT,0.575,65,105395237.0,107705575.0,-2.1450495946936825
ABM Investama Tbk.,2021-05-10,2021-05-18,780,827.0,33780,1580904.0,TP,0.567,65,106976141.0,107705575.0,-0.6772481368768515
ABM Investama Tbk.,2021-05-18,2021-05-19,850,816.0,31463,-1069742.0,SL,0.623,65,105906399.0,107705575.0,-1.6704576341568207
ABM Investama Tbk.,2021-05-21,2021-05-25,795,843.0,33303,1588553.0,TP,0.584,65,107494952.0,107705575.0,-0.1955544083952943
ABM Investama Tbk.,2021-05-27,2021-05-31,785,832.0,34234,1612421.0,TP,0.601,65,109107373.0,109107373.0,0.0
ABM Investama Tbk.,2021-06-02,2021-06-07,855,906.0,31902,1636573.0,TP,0.59,65,110743946.0,110743946.0,0.0
ABM Investama Tbk.,2021-07-14,2021-07-15,1005,1065.0,27548,1661144.0,TP,0.719,65,112405090.0,112405090.0,0.0
ABM Investama Tbk.,2021-07-19,2021-07-21,1265,1214.0,22214,-1124028.0,SL,0.67,65,111281062.0,112405090.0,-0.9999796272570931
ABM Investama Tbk.,2021-07-23,2021-07-26,1235,1309.0,22526,1669177.0,TP,0.635,65,112950239.0,112950239.0,0.0
ABM Investama Tbk.,2021-07-28,2021-07-30,1290,1238.0,21889,-1129472.0,SL,0.634,65,111820766.0,112950239.0,-0.999973979692066
ABM Investama Tbk.,2021-09-01,2021-09-07,1370,1315.0,20405,-1118194.0,SL,0.68,65,110702572.0,112950239.0,-1.9899621460739008
ABM Investama Tbk.,2021-09-13,2021-09-15,1315,1394.0,21046,1660529.0,TP,0.562,65,112363102.0,112950239.0,-0.5198191745304762
ABM Investama Tbk.,2021-09-16,2021-09-17,1485,1426.0,18916,-1123610.0,SL,0.616,65,111239491.0,112950239.0,-1.5146032581657487
ABM Investama Tbk.,2021-11-11,2021-11-15,1520,1459.0,18295,-1112336.0,SL,0.688,65,110127155.0,112950239.0,-2.4994050698732915
ABM Investama Tbk.,2021-11-24,2021-11-29,1450,1392.0,18987,-1101246.0,SL,0.575,65,109025909.0,112950239.0,-3.4743883985938266
ABM Investama Tbk.,2021-11-30,2022-01-03,1450,1392.0,18797,-1090226.0,SL,0.551,65,107935683.0,112950239.0,-4.439615218521141
ABM Investama Tbk.,2022-01-07,2022-01-12,1420,1395.0,19002,-475050.0,TIMEOUT,0.576,65,107460633.0,112950239.0,-4.860198657924044
ABM Investama Tbk.,2022-01-07,2022-01-17,1420,1400.0,18919,-378380.0,TIMEOUT,0.576,65,107082253.0,112950239.0,-5.195195735708006
ABM Investama Tbk.,2022-01-24,2022-01-25,1435,1378.0,18655,-1070797.0,SL,0.608,65,106011456.0,112950239.0,-6.143221175477105
ABM Investama Tbk.,2022-01-31,2022-02-08,1410,1415.0,18796,93980.0,TIMEOUT,0.597,65,106105436.0,112950239.0,-6.060016393590809
ABM Investama Tbk.,2022-02-04,2022-02-10,1415,1430.0,18746,281190.0,TIMEOUT,0.594,65,106386626.0,112950239.0,-5.811066057151061
ABM Investama Tbk.,2022-02-09,2022-02-14,1425,1460.0,18664,653240.0,TIMEOUT,0.623,65,107039866.0,112950239.0,-5.232722880736889
ABM Investama Tbk.,2022-02-10,2022-02-17,1430,1516.0,18713,1605575.0,TP,0.628,65,108645442.0,112950239.0,-3.8112331926982463
